variant,scene_id,zone_count,node_count,max_depth,pairwise_f1,weighted_best_zone_jaccard,orphan_view_count,duplicate_view_count,construction_seconds,provider_tokens
manual_reference,ConferenceHall-capture-pilot,5,206,2,1.0,1.0,0,8,,
manual_reference,Museume-capture,6,228,2,1.0,1.0,0,11,,
manual_reference,Theater-capture,5,226,2,1.0,1.0,1,8,,
manual_reference,outdoor-street-capture,5,240,2,1.0,1.0,0,6,,
manual_reference,outdoor-drone-capture,5,164,2,1.0,1.0,0,14,,
pose_only,ConferenceHall-capture-pilot,2,203,2,0.638132,0.61,0,0,0.008494,0
pose_only,Museume-capture,1,223,2,0.671329,0.6,0,0,0.008336,0
pose_only,Theater-capture,1,222,2,0.503937,0.4,0,0,0.009648,0
pose_only,outdoor-street-capture,3,238,2,0.5,0.444444,0,0,0.00827,0
pose_only,outdoor-drone-capture,3,162,2,0.626506,0.577679,0,0,0.006938,0
pose_semantic_merge,ConferenceHall-capture-pilot,1,202,2,0.623189,0.6,0,0,0.008736,0
pose_semantic_merge,Museume-capture,1,223,2,0.671329,0.6,0,0,0.006718,0
pose_semantic_merge,Theater-capture,1,222,2,0.503937,0.4,0,0,0.008699,0
pose_semantic_merge,outdoor-street-capture,2,237,2,0.427419,0.34127,0,0,0.009708,0
pose_semantic_merge,outdoor-drone-capture,3,162,2,0.626506,0.577679,0,0,0.008544,0
cursor_agent_mcp,ConferenceHall-capture-pilot,3,204,2,0.685714,0.616667,0,0,,
cursor_agent_mcp,Museume-capture,4,226,2,0.670521,0.732738,0,0,,
cursor_agent_mcp,Theater-capture,5,226,2,0.598131,0.677976,0,0,,
cursor_agent_mcp,outdoor-street-capture,3,238,2,0.5,0.444444,0,0,,
cursor_agent_mcp,outdoor-drone-capture,3,162,2,0.626506,0.577679,0,0,,
