query_id,scene_id,query_type,flat_views,graph_views,flat_tokens,graph_tokens,savings_views_pct,savings_tokens_pct,graph_found,flat_found,hit_at_1_graph,hit_at_1_flat
q051,ConferenceHall,simple_object,20,1,3110,236,95.0,92.4,True,True,,
q052,ConferenceHall,attribute,20,2,3110,399,90.0,87.2,False,False,,
q053,ConferenceHall,attribute,20,8,3110,1442,60.0,53.6,True,True,,
q054,ConferenceHall,relational,20,5,3110,1021,75.0,67.2,True,True,,
q055,ConferenceHall,multi_hop,20,12,3110,2055,40.0,33.9,True,True,,
q056,ConferenceHall,functional,20,2,3110,399,90.0,87.2,False,False,,
q057,ConferenceHall,negative,20,2,3110,399,90.0,87.2,False,False,,
q058,ConferenceHall,negative,20,2,3110,399,90.0,87.2,False,False,,
q059,Museume,simple_object,20,12,3371,2434,40.0,27.8,True,True,,
q060,Museume,attribute,20,1,3371,235,95.0,93.0,False,False,,
q061,Museume,attribute,20,7,3371,1323,65.0,60.8,True,True,,
q062,Museume,relational,20,14,3371,2769,30.0,17.9,True,True,,
q063,Museume,multi_hop,20,12,3371,2434,40.0,27.8,True,True,,
q064,Museume,functional,20,1,3371,235,95.0,93.0,False,False,,
q065,Museume,negative,20,1,3371,235,95.0,93.0,False,False,,
q066,Museume,negative,20,1,3371,208,95.0,93.8,True,True,,
q067,outdoor-drone,simple_object,16,2,2444,403,87.5,83.5,False,False,,
q068,outdoor-drone,attribute,16,2,2444,403,87.5,83.5,False,True,,
q069,outdoor-drone,relational,16,1,2444,189,93.8,92.3,True,True,,
q070,outdoor-drone,multi_hop,16,9,2444,1528,43.8,37.5,True,True,,
q071,outdoor-drone,multi_hop,16,16,2444,3049,0.0,-24.8,True,True,,
q072,outdoor-drone,functional,16,2,2444,403,87.5,83.5,False,False,,
q073,outdoor-drone,functional,16,2,2444,403,87.5,83.5,False,False,,
q074,outdoor-drone,negative,16,2,2444,403,87.5,83.5,False,False,,
q075,outdoor-street,simple_object,20,4,3288,875,80.0,73.4,True,True,,
q076,outdoor-street,attribute,20,8,3288,1545,60.0,53.0,True,True,,
q077,outdoor-street,relational,20,2,3288,401,90.0,87.8,False,False,,
q078,outdoor-street,multi_hop,20,15,3288,2825,25.0,14.1,True,True,,
q079,outdoor-street,multi_hop,20,3,3288,563,85.0,82.9,True,True,,
q080,outdoor-street,functional,20,4,3288,875,80.0,73.4,True,True,,
q081,outdoor-street,negative,20,2,3288,401,90.0,87.8,False,False,,
q082,outdoor-street,negative,20,2,3288,401,90.0,87.8,False,False,,
q083,Theater,simple_object,20,1,3307,239,95.0,92.8,False,False,,
q084,Theater,attribute,20,1,3307,239,95.0,92.8,False,False,,
q085,Theater,relational,20,1,3307,266,95.0,92.0,True,True,,
q086,Theater,multi_hop,20,2,3307,406,90.0,87.7,True,True,,
q087,Theater,multi_hop,20,7,3307,1414,65.0,57.2,True,True,,
q088,Theater,functional,20,1,3307,209,95.0,93.7,True,True,,
q089,Theater,functional,20,1,3307,239,95.0,92.8,False,False,,
q090,Theater,negative,20,1,3307,239,95.0,92.8,False,False,,
