query_id,scene_id,query_type,flat_views,graph_views,flat_tokens,graph_tokens,savings_views_pct,savings_tokens_pct,graph_found,flat_found,hit_at_1_graph,hit_at_1_flat,hit_at_3_graph,hit_at_3_flat
qv2_001,ConferenceHall,simple_object,20,3,3110,633,85.0,79.6,True,True,True,True,True,True
qv2_002,ConferenceHall,simple_object,20,3,3110,638,85.0,79.5,True,True,True,True,True,True
qv2_003,ConferenceHall,simple_object,20,2,3110,404,90.0,87.0,True,True,True,True,True,True
qv2_004,ConferenceHall,simple_object,20,5,3110,1020,75.0,67.2,True,True,True,True,True,True
qv2_005,ConferenceHall,simple_object,20,7,3110,1271,65.0,59.1,True,True,True,False,True,True
qv2_006,ConferenceHall,attribute,20,4,3110,827,80.0,73.4,True,True,True,True,True,True
qv2_007,ConferenceHall,attribute,20,10,3110,1764,50.0,43.3,True,True,True,True,True,True
qv2_008,ConferenceHall,attribute,20,5,3110,945,75.0,69.6,True,True,True,True,True,True
qv2_009,ConferenceHall,attribute,20,3,3110,568,85.0,81.7,True,True,True,True,True,True
qv2_010,ConferenceHall,attribute,20,4,3110,689,80.0,77.8,True,True,True,False,True,True
qv2_011,ConferenceHall,relational,20,18,3110,3637,10.0,-16.9,True,True,True,True,True,True
qv2_012,ConferenceHall,relational,20,1,3110,185,95.0,94.1,True,True,True,True,True,True
qv2_013,ConferenceHall,relational,20,8,3110,1495,60.0,51.9,True,True,False,True,True,True
qv2_014,ConferenceHall,relational,20,3,3110,661,85.0,78.7,True,True,True,True,True,True
qv2_015,ConferenceHall,relational,20,3,3110,664,85.0,78.6,True,True,True,False,True,True
qv2_016,ConferenceHall,multi_hop,20,3,3110,638,85.0,79.5,True,True,False,True,True,True
qv2_017,ConferenceHall,multi_hop,20,12,3110,2236,40.0,28.1,True,True,False,True,True,True
qv2_018,ConferenceHall,multi_hop,20,5,3110,886,75.0,71.5,True,True,True,True,True,True
qv2_019,ConferenceHall,multi_hop,20,3,3110,633,85.0,79.6,True,True,True,False,True,True
qv2_020,ConferenceHall,multi_hop,20,2,3110,420,90.0,86.5,True,True,True,True,True,True
qv2_021,ConferenceHall,functional,20,2,3110,399,90.0,87.2,False,False,False,False,False,False
qv2_022,ConferenceHall,functional,20,2,3110,399,90.0,87.2,False,False,False,False,False,False
qv2_023,ConferenceHall,functional,20,2,3110,417,90.0,86.6,True,True,True,True,True,True
qv2_024,ConferenceHall,functional,20,2,3110,420,90.0,86.5,True,True,True,True,True,True
qv2_025,ConferenceHall,functional,20,5,3110,1020,75.0,67.2,True,True,False,True,True,True
qv2_026,ConferenceHall,negative,20,2,3110,399,90.0,87.2,False,False,,,,
qv2_027,ConferenceHall,negative,20,2,3110,399,90.0,87.2,False,False,,,,
qv2_028,ConferenceHall,negative,20,2,3110,399,90.0,87.2,False,False,,,,
qv2_029,ConferenceHall,negative,20,2,3110,399,90.0,87.2,False,False,,,,
qv2_030,ConferenceHall,negative,20,2,3110,399,90.0,87.2,False,False,,,,
qv2_031,Museume,simple_object,20,10,3371,2069,50.0,38.6,True,True,True,True,True,True
qv2_032,Museume,simple_object,20,1,3371,214,95.0,93.7,True,True,True,True,True,True
qv2_033,Museume,simple_object,20,15,3371,3328,25.0,1.3,True,True,True,False,True,True
qv2_034,Museume,simple_object,20,4,3371,863,80.0,74.4,True,True,True,False,True,True
qv2_035,Museume,simple_object,20,5,3371,1062,75.0,68.5,True,True,True,True,True,True
qv2_036,Museume,attribute,20,1,3371,232,95.0,93.1,True,True,True,True,True,True
qv2_037,Museume,attribute,20,7,3371,1373,65.0,59.3,True,True,True,True,True,True
qv2_038,Museume,attribute,20,12,3371,2306,40.0,31.6,True,True,True,True,True,True
qv2_039,Museume,attribute,20,10,3371,2012,50.0,40.3,True,True,True,False,True,True
qv2_040,Museume,attribute,20,6,3371,1119,70.0,66.8,True,True,True,True,True,True
qv2_041,Museume,relational,20,1,3371,214,95.0,93.7,True,True,True,True,True,True
qv2_042,Museume,relational,20,15,3371,3357,25.0,0.4,True,True,False,True,True,True
qv2_043,Museume,relational,20,6,3371,1159,70.0,65.6,True,True,True,True,True,True
qv2_044,Museume,relational,20,14,3371,3015,30.0,10.6,True,True,True,False,True,True
qv2_045,Museume,relational,20,8,3371,1515,60.0,55.1,True,True,True,True,True,True
qv2_046,Museume,multi_hop,20,10,3371,2069,50.0,38.6,True,True,True,True,True,True
qv2_047,Museume,multi_hop,20,1,3371,227,95.0,93.3,True,True,True,True,True,True
qv2_048,Museume,multi_hop,20,4,3371,836,80.0,75.2,True,True,True,True,True,True
qv2_049,Museume,multi_hop,20,15,3371,3328,25.0,1.3,True,True,True,False,True,False
qv2_050,Museume,multi_hop,20,9,3371,1813,55.0,46.2,True,True,True,True,True,True
qv2_051,Museume,functional,20,2,3371,399,90.0,88.2,True,True,True,True,True,True
qv2_052,Museume,functional,20,1,3371,235,95.0,93.0,False,False,False,False,False,False
qv2_053,Museume,functional,20,6,3371,1129,70.0,66.5,True,True,True,False,True,True
qv2_054,Museume,functional,20,9,3371,1730,55.0,48.7,True,True,True,True,True,True
qv2_055,Museume,functional,20,12,3371,2280,40.0,32.4,True,True,True,True,True,True
qv2_056,Museume,negative,20,1,3371,235,95.0,93.0,False,False,,,,
qv2_057,Museume,negative,20,1,3371,235,95.0,93.0,False,False,,,,
qv2_058,Museume,negative,20,1,3371,235,95.0,93.0,False,False,,,,
qv2_059,Museume,negative,20,1,3371,235,95.0,93.0,False,False,,,,
qv2_060,Museume,negative,20,2,3371,377,90.0,88.8,True,True,,,,
qv2_061,Theater,simple_object,20,1,3307,222,95.0,93.3,True,True,True,True,True,True
qv2_062,Theater,simple_object,20,1,3307,211,95.0,93.6,True,True,True,True,True,True
qv2_063,Theater,simple_object,20,1,3307,220,95.0,93.3,True,True,True,True,True,True
qv2_064,Theater,simple_object,20,5,3307,1066,75.0,67.8,True,True,True,True,True,True
qv2_065,Theater,simple_object,20,9,3307,1731,55.0,47.7,True,True,True,True,True,True
qv2_066,Theater,attribute,20,1,3307,211,95.0,93.6,True,True,True,True,True,True
qv2_067,Theater,attribute,20,5,3307,899,75.0,72.8,True,True,True,True,True,True
qv2_068,Theater,attribute,20,1,3307,222,95.0,93.3,True,True,True,True,True,True
qv2_069,Theater,attribute,20,6,3307,1087,70.0,67.1,True,True,True,True,True,True
qv2_070,Theater,attribute,20,7,3307,1234,65.0,62.7,True,True,True,True,True,True
qv2_071,Theater,relational,20,1,3307,220,95.0,93.3,True,True,True,True,True,True
qv2_072,Theater,relational,20,1,3307,201,95.0,93.9,True,True,True,True,True,True
qv2_073,Theater,relational,20,4,3307,744,80.0,77.5,True,True,True,True,True,True
qv2_074,Theater,relational,20,1,3307,218,95.0,93.4,True,True,True,True,True,True
qv2_075,Theater,relational,20,1,3307,207,95.0,93.7,True,True,True,True,True,True
qv2_076,Theater,multi_hop,20,1,3307,222,95.0,93.3,True,True,True,True,True,True
qv2_077,Theater,multi_hop,20,1,3307,226,95.0,93.2,True,True,True,True,True,True
qv2_078,Theater,multi_hop,20,4,3307,766,80.0,76.8,True,True,True,True,True,True
qv2_079,Theater,multi_hop,20,16,3307,3197,20.0,3.3,True,True,True,True,True,True
qv2_080,Theater,multi_hop,20,5,3307,912,75.0,72.4,True,True,True,True,True,True
qv2_081,Theater,functional,20,1,3307,209,95.0,93.7,True,True,False,False,False,False
qv2_082,Theater,functional,20,1,3307,239,95.0,92.8,False,False,False,False,False,False
qv2_083,Theater,functional,20,5,3307,984,75.0,70.2,True,True,True,True,True,True
qv2_084,Theater,functional,20,4,3307,786,80.0,76.2,True,True,True,True,True,True
qv2_085,Theater,functional,20,7,3307,1476,65.0,55.4,True,True,True,True,True,True
qv2_086,Theater,negative,20,1,3307,239,95.0,92.8,False,False,,,,
qv2_087,Theater,negative,20,1,3307,239,95.0,92.8,False,False,,,,
qv2_088,Theater,negative,20,1,3307,239,95.0,92.8,False,False,,,,
qv2_089,Theater,negative,20,1,3307,239,95.0,92.8,False,False,,,,
qv2_090,Theater,negative,20,1,3307,239,95.0,92.8,False,False,,,,
qv2_091,outdoor-street,simple_object,20,2,3288,408,90.0,87.6,True,True,False,True,True,True
qv2_092,outdoor-street,simple_object,20,5,3288,1071,75.0,67.4,True,True,True,False,True,True
qv2_093,outdoor-street,simple_object,20,1,3288,221,95.0,93.3,True,True,True,True,True,True
qv2_094,outdoor-street,simple_object,20,1,3288,227,95.0,93.1,True,True,True,True,True,True
qv2_095,outdoor-street,simple_object,20,8,3288,1582,60.0,51.9,True,True,True,True,True,True
qv2_096,outdoor-street,attribute,20,11,3288,2058,45.0,37.4,True,True,True,True,True,True
qv2_097,outdoor-street,attribute,20,8,3288,1462,60.0,55.5,True,True,True,False,True,True
qv2_098,outdoor-street,attribute,20,2,3288,433,90.0,86.8,True,True,True,False,True,True
qv2_099,outdoor-street,attribute,20,11,3288,2018,45.0,38.6,True,True,False,True,True,True
qv2_100,outdoor-street,attribute,20,2,3288,422,90.0,87.2,True,True,True,True,True,True
qv2_101,outdoor-street,relational,20,18,3288,3801,10.0,-15.6,True,True,True,True,True,True
qv2_102,outdoor-street,relational,20,18,3288,3751,10.0,-14.1,True,True,True,True,True,True
qv2_103,outdoor-street,relational,20,5,3288,977,75.0,70.3,True,True,True,True,True,True
qv2_104,outdoor-street,relational,20,8,3288,1582,60.0,51.9,True,True,True,True,True,True
qv2_105,outdoor-street,relational,20,4,3288,828,80.0,74.8,True,True,False,False,False,True
qv2_106,outdoor-street,multi_hop,20,2,3288,424,90.0,87.1,True,True,True,True,True,True
qv2_107,outdoor-street,multi_hop,20,6,3288,1249,70.0,62.0,True,True,True,True,True,True
qv2_108,outdoor-street,multi_hop,20,18,3288,3751,10.0,-14.1,True,True,True,True,True,True
qv2_109,outdoor-street,multi_hop,20,11,3288,2161,45.0,34.3,True,True,True,True,True,True
qv2_110,outdoor-street,multi_hop,20,16,3288,3000,20.0,8.8,True,True,False,True,True,True
qv2_111,outdoor-street,functional,20,2,3288,401,90.0,87.8,False,False,False,False,False,False
qv2_112,outdoor-street,functional,20,17,3288,3363,15.0,-2.3,True,True,False,False,True,True
qv2_113,outdoor-street,functional,20,4,3288,875,80.0,73.4,True,True,False,True,False,True
qv2_114,outdoor-street,functional,20,7,3288,1373,65.0,58.2,True,True,False,True,False,True
qv2_115,outdoor-street,functional,20,4,3288,875,80.0,73.4,True,True,False,False,False,False
qv2_116,outdoor-street,negative,20,2,3288,401,90.0,87.8,False,False,,,,
qv2_117,outdoor-street,negative,20,2,3288,401,90.0,87.8,False,False,,,,
qv2_118,outdoor-street,negative,20,1,3288,211,95.0,93.6,True,True,,,,
qv2_119,outdoor-street,negative,20,2,3288,401,90.0,87.8,False,False,,,,
qv2_120,outdoor-street,negative,20,1,3288,201,95.0,93.9,True,True,,,,
qv2_121,outdoor-drone,simple_object,16,7,2444,1640,56.2,32.9,True,True,False,False,True,False
qv2_122,outdoor-drone,simple_object,16,4,2444,780,75.0,68.1,True,True,True,True,True,True
qv2_123,outdoor-drone,simple_object,16,16,2444,2929,0.0,-19.8,True,True,True,False,True,True
qv2_124,outdoor-drone,simple_object,16,8,2444,1495,50.0,38.8,True,True,True,True,True,True
qv2_125,outdoor-drone,simple_object,16,2,2444,358,87.5,85.4,True,True,True,True,True,True
qv2_126,outdoor-drone,attribute,16,4,2444,768,75.0,68.6,True,True,False,False,True,True
qv2_127,outdoor-drone,attribute,16,15,2444,2515,6.2,-2.9,True,True,True,True,True,True
qv2_128,outdoor-drone,attribute,16,10,2444,1817,37.5,25.7,True,True,True,False,True,True
qv2_129,outdoor-drone,attribute,16,7,2444,1127,56.2,53.9,True,True,True,True,True,True
qv2_130,outdoor-drone,attribute,16,4,2444,749,75.0,69.4,True,True,False,True,True,True
qv2_131,outdoor-drone,relational,16,4,2444,780,75.0,68.1,True,True,True,True,True,True
qv2_132,outdoor-drone,relational,16,4,2444,768,75.0,68.6,True,True,True,True,True,True
qv2_133,outdoor-drone,relational,16,3,2444,569,81.2,76.7,True,True,True,True,True,True
qv2_134,outdoor-drone,relational,16,2,2444,350,87.5,85.7,True,True,True,True,True,True
qv2_135,outdoor-drone,relational,16,3,2444,520,81.2,78.7,True,True,False,False,True,True
qv2_136,outdoor-drone,multi_hop,16,4,2444,902,75.0,63.1,True,True,True,False,True,True
qv2_137,outdoor-drone,multi_hop,16,15,2444,2579,6.2,-5.5,True,True,False,False,False,True
qv2_138,outdoor-drone,multi_hop,16,12,2444,2199,25.0,10.0,True,True,True,True,True,True
qv2_139,outdoor-drone,multi_hop,16,8,2444,1382,50.0,43.5,True,True,True,True,True,True
qv2_140,outdoor-drone,multi_hop,16,2,2444,417,87.5,82.9,True,True,True,True,True,True
qv2_141,outdoor-drone,functional,16,16,2444,2978,0.0,-21.8,True,True,False,True,False,True
qv2_142,outdoor-drone,functional,16,16,2444,2929,0.0,-19.8,True,True,True,True,True,True
qv2_143,outdoor-drone,functional,16,4,2444,790,75.0,67.7,True,True,True,True,True,True
qv2_144,outdoor-drone,functional,16,13,2444,2261,18.8,7.5,True,True,False,True,True,True
qv2_145,outdoor-drone,functional,16,4,2444,725,75.0,70.3,True,True,True,True,True,True
qv2_146,outdoor-drone,negative,16,2,2444,403,87.5,83.5,False,False,,,,
qv2_147,outdoor-drone,negative,16,2,2444,403,87.5,83.5,False,False,,,,
qv2_148,outdoor-drone,negative,16,2,2444,403,87.5,83.5,False,False,,,,
qv2_149,outdoor-drone,negative,16,2,2444,403,87.5,83.5,False,False,,,,
qv2_150,outdoor-drone,negative,16,2,2444,403,87.5,83.5,False,False,,,,
