query_id,scene_id,source,query_type,search_variant,input_shape,schema_valid,prediction_available,bbox_eligible,bbox_iou_3d,recall_at_1_eligible,recall_at_1,predicted_object_id,failures,runtime_seconds,checked_nodes,checked_views,checked_objects,context_chars,estimated_tokens
replica_room0_simple_001,replica_room0,Replica,simple_object,ablation_flat_only,canonical,True,True,True,1.0,True,True,2,,0.001272875000267959,2.0,1.0,92.0,8923.0,2235.0
replica_room0_simple_002,replica_room0,Replica,simple_object,ablation_flat_only,canonical,True,True,True,1.0,True,True,36,,0.0011691250001604203,2.0,1.0,92.0,8923.0,2234.0
replica_room0_attribute_001,replica_room0,Replica,attribute,ablation_flat_only,canonical,True,True,True,1.0,True,True,45,,0.0013253339998300362,2.0,1.0,92.0,8923.0,2240.0
replica_room0_relational_001,replica_room0,Replica,relational,ablation_flat_only,canonical,True,True,True,1.0,True,True,60,,0.001270042000214744,2.0,1.0,92.0,8923.0,2240.0
replica_room0_multi_hop_001,replica_room0,Replica,multi_hop,ablation_flat_only,canonical,True,True,True,1.0,True,True,63,,0.0013666250001733715,2.0,1.0,92.0,8923.0,2244.0
replica_room0_functional_001,replica_room0,Replica,functional,ablation_flat_only,canonical,True,True,True,1.0,True,True,73,,0.0012950420000379381,2.0,1.0,92.0,8923.0,2239.0
replica_room0_negative_001,replica_room0,Replica,negative,ablation_flat_only,canonical,True,False,False,,False,,,invalid/unavailable prediction; missing GT,0.0012299580002945731,0.0,1.0,92.0,8923.0,2236.0
replica_room1_simple_001,replica_room1,Replica,simple_object,ablation_flat_only,canonical,True,True,True,1.0,True,True,36,,0.0007444999996550905,2.0,1.0,54.0,5222.0,1310.0
replica_room1_simple_002,replica_room1,Replica,simple_object,ablation_flat_only,canonical,True,True,True,1.0,True,True,6,,0.0006982499999139691,2.0,1.0,54.0,5222.0,1309.0
replica_room1_attribute_001,replica_room1,Replica,attribute,ablation_flat_only,canonical,True,True,True,1.0,True,True,51,,0.0007614169999214937,2.0,1.0,54.0,5222.0,1315.0
replica_room1_relational_001,replica_room1,Replica,relational,ablation_flat_only,canonical,True,True,True,1.0,True,True,20,,0.0007174579995989916,2.0,1.0,54.0,5222.0,1314.0
replica_room1_multi_hop_001,replica_room1,Replica,multi_hop,ablation_flat_only,canonical,True,True,True,1.0,True,True,32,,0.0008710419997441932,2.0,1.0,54.0,5222.0,1318.0
replica_room1_functional_001,replica_room1,Replica,functional,ablation_flat_only,canonical,True,True,True,1.0,True,True,32,,0.0008495420001963794,2.0,1.0,54.0,5222.0,1313.0
replica_room1_negative_001,replica_room1,Replica,negative,ablation_flat_only,canonical,True,False,False,,False,,,invalid/unavailable prediction; missing GT,0.0007351659996857052,0.0,1.0,54.0,5222.0,1311.0
replica_room2_simple_001,replica_room2,Replica,simple_object,ablation_flat_only,canonical,True,True,True,1.0,True,True,54,,0.0008920830000533897,2.0,1.0,61.0,5887.0,1475.0
replica_room2_simple_002,replica_room2,Replica,simple_object,ablation_flat_only,canonical,True,True,True,1.0,True,True,14,,0.0008306250001623994,2.0,1.0,61.0,5887.0,1475.0
replica_room2_attribute_001,replica_room2,Replica,attribute,ablation_flat_only,canonical,True,True,True,1.0,True,True,1,,0.000838833999750932,2.0,1.0,61.0,5887.0,1481.0
replica_room2_relational_001,replica_room2,Replica,relational,ablation_flat_only,canonical,True,True,True,1.0,True,True,5,,0.000804416999926616,2.0,1.0,61.0,5887.0,1481.0
replica_room2_multi_hop_001,replica_room2,Replica,multi_hop,ablation_flat_only,canonical,True,True,True,1.0,True,True,26,,0.0009241669999937585,2.0,1.0,61.0,5887.0,1485.0
replica_room2_functional_001,replica_room2,Replica,functional,ablation_flat_only,canonical,True,True,True,1.0,True,True,11,,0.0009132079999289999,2.0,1.0,61.0,5887.0,1480.0
replica_room2_negative_001,replica_room2,Replica,negative,ablation_flat_only,canonical,True,False,False,,False,,,invalid/unavailable prediction; missing GT,0.0008125409999593103,0.0,1.0,61.0,5887.0,1477.0
replica_office0_simple_001,replica_office0,Replica,simple_object,ablation_flat_only,canonical,True,True,True,1.0,True,True,16,,0.0009900000000016007,2.0,1.0,64.0,6326.0,1585.0
replica_office0_simple_002,replica_office0,Replica,simple_object,ablation_flat_only,canonical,True,True,True,1.0,True,True,5,,0.0008422920000157319,2.0,1.0,64.0,6326.0,1584.0
replica_office0_attribute_001,replica_office0,Replica,attribute,ablation_flat_only,canonical,True,True,True,1.0,True,True,12,,0.0010093329997289402,2.0,1.0,64.0,6326.0,1591.0
replica_office0_relational_001,replica_office0,Replica,relational,ablation_flat_only,canonical,True,True,True,1.0,True,True,66,,0.0008689590003996273,2.0,1.0,64.0,6326.0,1592.0
