query_id,scene_id,source,query_type,search_variant,input_shape,schema_valid,prediction_available,bbox_eligible,bbox_iou_3d,recall_at_1_eligible,recall_at_1,predicted_object_id,failures,runtime_seconds,checked_nodes,checked_views,checked_objects,context_chars,estimated_tokens
replica_room0_simple_001,replica_room0,Replica,simple_object,ablation_no_fallback,canonical,True,True,True,1.0,True,True,2,,0.0008329590000357712,2.0,1.0,1.0,97.0,28.0
replica_room0_simple_002,replica_room0,Replica,simple_object,ablation_no_fallback,canonical,True,True,True,1.0,True,True,36,,0.0007121670000742597,2.0,1.0,1.0,95.0,27.0
replica_room0_attribute_001,replica_room0,Replica,attribute,ablation_no_fallback,canonical,True,True,True,1.0,True,True,45,,0.0017400000001543958,2.0,1.0,92.0,8923.0,2240.0
replica_room0_relational_001,replica_room0,Replica,relational,ablation_no_fallback,canonical,True,True,True,1.0,True,True,60,,0.002141375000064727,2.0,1.0,1.0,94.0,32.0
replica_room0_multi_hop_001,replica_room0,Replica,multi_hop,ablation_no_fallback,canonical,True,True,True,1.0,True,True,63,,0.0007711660000495613,2.0,1.0,1.0,98.0,38.0
replica_room0_functional_001,replica_room0,Replica,functional,ablation_no_fallback,canonical,True,True,True,1.0,True,True,73,,0.0007803329999660491,2.0,1.0,4.0,381.0,103.0
replica_room0_negative_001,replica_room0,Replica,negative,ablation_no_fallback,canonical,True,False,False,,False,,,invalid/unavailable prediction; missing GT,0.0007023340003797784,0.0,1.0,1.0,96.0,29.0
replica_room1_simple_001,replica_room1,Replica,simple_object,ablation_no_fallback,canonical,True,True,True,1.0,True,True,36,,0.0004492499997468258,2.0,1.0,1.0,98.0,28.0
replica_room1_simple_002,replica_room1,Replica,simple_object,ablation_no_fallback,canonical,True,True,True,1.0,True,True,6,,0.00044016700030624634,2.0,1.0,1.0,94.0,27.0
replica_room1_attribute_001,replica_room1,Replica,attribute,ablation_no_fallback,canonical,True,True,True,1.0,True,True,51,,0.0010276250000060827,2.0,1.0,54.0,5222.0,1315.0
replica_room1_relational_001,replica_room1,Replica,relational,ablation_no_fallback,canonical,True,True,True,1.0,True,True,20,,0.0012833749997298582,2.0,1.0,1.0,94.0,32.0
replica_room1_multi_hop_001,replica_room1,Replica,multi_hop,ablation_no_fallback,canonical,True,True,True,1.0,True,True,32,,0.0004996249999749125,2.0,1.0,1.0,93.0,36.0
replica_room1_functional_001,replica_room1,Replica,functional,ablation_no_fallback,canonical,True,True,True,1.0,True,True,32,,0.00044529099977808073,2.0,1.0,1.0,93.0,31.0
replica_room1_negative_001,replica_room1,Replica,negative,ablation_no_fallback,canonical,True,False,False,,False,,,invalid/unavailable prediction; missing GT,0.0004228329999023117,0.0,1.0,1.0,98.0,30.0
replica_room2_simple_001,replica_room2,Replica,simple_object,ablation_no_fallback,canonical,True,True,True,1.0,True,True,54,,0.00049158299998453,2.0,1.0,1.0,95.0,27.0
replica_room2_simple_002,replica_room2,Replica,simple_object,ablation_no_fallback,canonical,True,True,True,1.0,True,True,14,,0.0005529159998332034,2.0,1.0,5.0,475.0,122.0
replica_room2_attribute_001,replica_room2,Replica,attribute,ablation_no_fallback,canonical,True,True,True,1.0,True,True,1,,0.0011412499998186831,2.0,1.0,61.0,5887.0,1481.0
replica_room2_relational_001,replica_room2,Replica,relational,ablation_no_fallback,canonical,True,True,True,1.0,True,True,5,,0.0014650830003120063,2.0,1.0,1.0,95.0,33.0
replica_room2_multi_hop_001,replica_room2,Replica,multi_hop,ablation_no_fallback,canonical,True,True,True,1.0,True,True,26,,0.0005129579999447742,2.0,1.0,1.0,97.0,38.0
replica_room2_functional_001,replica_room2,Replica,functional,ablation_no_fallback,canonical,True,True,True,1.0,True,True,11,,0.0006022500001563458,2.0,1.0,8.0,764.0,199.0
replica_room2_negative_001,replica_room2,Replica,negative,ablation_no_fallback,canonical,True,False,False,,False,,,invalid/unavailable prediction; missing GT,0.00047733300016261637,0.0,1.0,1.0,95.0,29.0
replica_office0_simple_001,replica_office0,Replica,simple_object,ablation_no_fallback,canonical,True,True,True,1.0,True,True,16,,0.0005193749998397834,2.0,1.0,1.0,95.0,27.0
