query_id,scene_id,source,query_type,search_variant,input_shape,schema_valid,prediction_available,bbox_eligible,bbox_iou_3d,recall_at_1_eligible,recall_at_1,predicted_object_id,failures,runtime_seconds,checked_nodes,checked_views,checked_objects,context_chars,estimated_tokens
replica_room0_simple_001,replica_room0,Replica,simple_object,ablation_no_hierarchy,canonical,True,True,True,1.0,True,True,2,,0.001296375000038097,2.0,1.0,92.0,8923.0,2235.0
replica_room0_simple_002,replica_room0,Replica,simple_object,ablation_no_hierarchy,canonical,True,True,True,1.0,True,True,36,,0.0012067920001754828,2.0,1.0,92.0,8923.0,2234.0
replica_room0_attribute_001,replica_room0,Replica,attribute,ablation_no_hierarchy,canonical,True,True,True,1.0,True,True,45,,0.0013907090001339384,2.0,1.0,92.0,8923.0,2240.0
replica_room0_relational_001,replica_room0,Replica,relational,ablation_no_hierarchy,canonical,True,True,True,1.0,True,True,60,,0.08766520799963473,2.0,1.0,92.0,8923.0,2240.0
replica_room0_multi_hop_001,replica_room0,Replica,multi_hop,ablation_no_hierarchy,canonical,True,True,True,1.0,True,True,63,,0.0015337079998971603,2.0,1.0,92.0,8923.0,2244.0
replica_room0_functional_001,replica_room0,Replica,functional,ablation_no_hierarchy,canonical,True,True,True,1.0,True,True,73,,0.0013962500001980516,2.0,1.0,92.0,8923.0,2239.0
replica_room0_negative_001,replica_room0,Replica,negative,ablation_no_hierarchy,canonical,True,False,False,,False,,,invalid/unavailable prediction; missing GT,0.0011990840002908953,0.0,1.0,92.0,8923.0,2236.0
replica_room1_simple_001,replica_room1,Replica,simple_object,ablation_no_hierarchy,canonical,True,True,True,1.0,True,True,36,,0.0007194160002654826,2.0,1.0,54.0,5222.0,1310.0
replica_room1_simple_002,replica_room1,Replica,simple_object,ablation_no_hierarchy,canonical,True,True,True,1.0,True,True,6,,0.0007172499999796855,2.0,1.0,54.0,5222.0,1309.0
replica_room1_attribute_001,replica_room1,Replica,attribute,ablation_no_hierarchy,canonical,True,True,True,1.0,True,True,51,,0.0007546670003648615,2.0,1.0,54.0,5222.0,1315.0
replica_room1_relational_001,replica_room1,Replica,relational,ablation_no_hierarchy,canonical,True,True,True,1.0,True,True,20,,0.03081729199993788,2.0,1.0,54.0,5222.0,1314.0
replica_room1_multi_hop_001,replica_room1,Replica,multi_hop,ablation_no_hierarchy,canonical,True,True,True,1.0,True,True,32,,0.0008829159996821545,2.0,1.0,54.0,5222.0,1318.0
replica_room1_functional_001,replica_room1,Replica,functional,ablation_no_hierarchy,canonical,True,True,True,1.0,True,True,32,,0.0008505000000695873,2.0,1.0,54.0,5222.0,1313.0
replica_room1_negative_001,replica_room1,Replica,negative,ablation_no_hierarchy,canonical,True,False,False,,False,,,invalid/unavailable prediction; missing GT,0.0008590839997850708,0.0,1.0,54.0,5222.0,1311.0
replica_room2_simple_001,replica_room2,Replica,simple_object,ablation_no_hierarchy,canonical,True,True,True,1.0,True,True,54,,0.0008054999998421408,2.0,1.0,61.0,5887.0,1475.0
replica_room2_simple_002,replica_room2,Replica,simple_object,ablation_no_hierarchy,canonical,True,True,True,1.0,True,True,14,,0.0007914580000942806,2.0,1.0,61.0,5887.0,1475.0
replica_room2_attribute_001,replica_room2,Replica,attribute,ablation_no_hierarchy,canonical,True,True,True,1.0,True,True,1,,0.0008447089999208401,2.0,1.0,61.0,5887.0,1481.0
replica_room2_relational_001,replica_room2,Replica,relational,ablation_no_hierarchy,canonical,True,True,True,1.0,True,True,5,,0.03850995800030432,2.0,1.0,61.0,5887.0,1481.0
replica_room2_multi_hop_001,replica_room2,Replica,multi_hop,ablation_no_hierarchy,canonical,True,True,True,1.0,True,True,26,,0.0010259159998895484,2.0,1.0,61.0,5887.0,1485.0
replica_room2_functional_001,replica_room2,Replica,functional,ablation_no_hierarchy,canonical,True,True,True,1.0,True,True,11,,0.0009481669999331643,2.0,1.0,61.0,5887.0,1480.0
replica_room2_negative_001,replica_room2,Replica,negative,ablation_no_hierarchy,canonical,True,False,False,,False,,,invalid/unavailable prediction; missing GT,0.0008814170000732702,0.0,1.0,61.0,5887.0,1477.0
replica_office0_simple_001,replica_office0,Replica,simple_object,ablation_no_hierarchy,canonical,True,True,True,1.0,True,True,16,,0.0009275839997826552,2.0,1.0,64.0,6326.0,1585.0
replica_office0_simple_002,replica_office0,Replica,simple_object,ablation_no_hierarchy,canonical,True,True,True,1.0,True,True,5,,0.0008218749999286956,2.0,1.0,64.0,6326.0,1584.0
replica_office0_attribute_001,replica_office0,Replica,attribute,ablation_no_hierarchy,canonical,True,True,True,1.0,True,True,12,,0.0009086249997380946,2.0,1.0,64.0,6326.0,1591.0
replica_office0_relational_001,replica_office0,Replica,relational,ablation_no_hierarchy,canonical,True,True,True,1.0,True,True,66,,0.042653958999835595,2.0,1.0,64.0,6326.0,1592.0
