query_id,scene_id,source,query_type,search_variant,input_shape,schema_valid,prediction_available,bbox_eligible,bbox_iou_3d,recall_at_1_eligible,recall_at_1,predicted_object_id,failures,runtime_seconds,checked_nodes,checked_views,checked_objects,context_chars,estimated_tokens
replica_room0_simple_001,replica_room0,Replica,simple_object,ablation_no_relation,canonical,True,True,True,1.0,True,True,2,,0.000874791000114783,2.0,1.0,1.0,97.0,28.0
replica_room0_simple_002,replica_room0,Replica,simple_object,ablation_no_relation,canonical,True,True,True,1.0,True,True,36,,0.0006900829998812696,2.0,1.0,1.0,95.0,27.0
replica_room0_attribute_001,replica_room0,Replica,attribute,ablation_no_relation,canonical,True,True,True,1.0,True,True,45,,0.0020661249996010156,2.0,1.0,92.0,8923.0,2240.0
replica_room0_relational_001,replica_room0,Replica,relational,ablation_no_relation,canonical,True,True,True,1.0,True,True,60,,0.0007608750001963926,2.0,1.0,1.0,94.0,32.0
replica_room0_multi_hop_001,replica_room0,Replica,multi_hop,ablation_no_relation,canonical,True,True,True,1.0,True,True,63,,0.0018915419996119454,2.0,1.0,92.0,8923.0,2244.0
replica_room0_functional_001,replica_room0,Replica,functional,ablation_no_relation,canonical,True,True,True,1.0,True,True,73,,0.0016341660002581193,2.0,1.0,92.0,8923.0,2239.0
replica_room0_negative_001,replica_room0,Replica,negative,ablation_no_relation,canonical,True,False,False,,False,,,invalid/unavailable prediction; missing GT,0.0014982499997131526,0.0,1.0,92.0,8923.0,2236.0
replica_room1_simple_001,replica_room1,Replica,simple_object,ablation_no_relation,canonical,True,True,True,1.0,True,True,36,,0.00044745799959855503,2.0,1.0,1.0,98.0,28.0
replica_room1_simple_002,replica_room1,Replica,simple_object,ablation_no_relation,canonical,True,True,True,1.0,True,True,6,,0.00045374999990599463,2.0,1.0,1.0,94.0,27.0
replica_room1_attribute_001,replica_room1,Replica,attribute,ablation_no_relation,canonical,True,True,True,1.0,True,True,51,,0.0014617080000789429,2.0,1.0,54.0,5222.0,1315.0
replica_room1_relational_001,replica_room1,Replica,relational,ablation_no_relation,canonical,True,True,True,1.0,True,True,20,,0.00045162500009610085,2.0,1.0,1.0,94.0,32.0
replica_room1_multi_hop_001,replica_room1,Replica,multi_hop,ablation_no_relation,canonical,True,True,True,1.0,True,True,32,,0.001047707999987324,2.0,1.0,54.0,5222.0,1318.0
replica_room1_functional_001,replica_room1,Replica,functional,ablation_no_relation,canonical,True,True,True,1.0,True,True,32,,0.0009712920000310987,2.0,1.0,54.0,5222.0,1313.0
replica_room1_negative_001,replica_room1,Replica,negative,ablation_no_relation,canonical,True,False,False,,False,,,invalid/unavailable prediction; missing GT,0.0008763340001678444,0.0,1.0,54.0,5222.0,1311.0
