query_id,scene_id,source,query_type,search_variant,input_shape,schema_valid,prediction_available,bbox_eligible,bbox_iou_3d,recall_at_1_eligible,recall_at_1,predicted_object_id,failures,runtime_seconds,checked_nodes,checked_views,checked_objects,context_chars,estimated_tokens
replica_room0_simple_001,replica_room0,Replica,simple_object,graph,canonical,True,True,True,1.0,True,True,2,,0.0007887500000833825,2.0,1.0,1.0,97.0,28.0
replica_room0_simple_002,replica_room0,Replica,simple_object,graph,canonical,True,True,True,1.0,True,True,36,,0.000706374999936088,2.0,1.0,1.0,95.0,27.0
replica_room0_attribute_001,replica_room0,Replica,attribute,graph,canonical,True,True,True,1.0,True,True,45,,0.0017296249998253188,2.0,1.0,92.0,8923.0,2240.0
replica_room0_relational_001,replica_room0,Replica,relational,graph,canonical,True,True,True,1.0,True,True,60,,0.0021693749999940337,2.0,1.0,1.0,94.0,32.0
replica_room0_multi_hop_001,replica_room0,Replica,multi_hop,graph,canonical,True,True,True,1.0,True,True,63,,0.000781624999945052,2.0,1.0,1.0,98.0,38.0
replica_room0_functional_001,replica_room0,Replica,functional,graph,canonical,True,True,True,1.0,True,True,73,,0.0007498749996557308,2.0,1.0,4.0,381.0,103.0
replica_room0_negative_001,replica_room0,Replica,negative,graph,canonical,True,False,False,,False,,,invalid/unavailable prediction; missing GT,0.0006866670000817976,0.0,1.0,1.0,96.0,29.0
replica_room1_simple_001,replica_room1,Replica,simple_object,graph,canonical,True,True,True,1.0,True,True,36,,0.0005486249997375126,2.0,1.0,1.0,98.0,28.0
replica_room1_simple_002,replica_room1,Replica,simple_object,graph,canonical,True,True,True,1.0,True,True,6,,0.0004588330002661678,2.0,1.0,1.0,94.0,27.0
replica_room1_attribute_001,replica_room1,Replica,attribute,graph,canonical,True,True,True,1.0,True,True,51,,0.0009332920003544132,2.0,1.0,54.0,5222.0,1315.0
replica_room1_relational_001,replica_room1,Replica,relational,graph,canonical,True,True,True,1.0,True,True,20,,0.0013682499998139974,2.0,1.0,1.0,94.0,32.0
replica_room1_multi_hop_001,replica_room1,Replica,multi_hop,graph,canonical,True,True,True,1.0,True,True,32,,0.0004787909997503448,2.0,1.0,1.0,93.0,36.0
replica_room1_functional_001,replica_room1,Replica,functional,graph,canonical,True,True,True,1.0,True,True,32,,0.00045512499991673394,2.0,1.0,1.0,93.0,31.0
replica_room1_negative_001,replica_room1,Replica,negative,graph,canonical,True,False,False,,False,,,invalid/unavailable prediction; missing GT,0.0004282499999135325,0.0,1.0,1.0,98.0,30.0
replica_room2_simple_001,replica_room2,Replica,simple_object,graph,canonical,True,True,True,1.0,True,True,54,,0.00048799999967741314,2.0,1.0,1.0,95.0,27.0
replica_room2_simple_002,replica_room2,Replica,simple_object,graph,canonical,True,True,True,1.0,True,True,14,,0.0005808340001749457,2.0,1.0,5.0,475.0,122.0
replica_room2_attribute_001,replica_room2,Replica,attribute,graph,canonical,True,True,True,1.0,True,True,1,,0.001051791999998386,2.0,1.0,61.0,5887.0,1481.0
replica_room2_relational_001,replica_room2,Replica,relational,graph,canonical,True,True,True,1.0,True,True,5,,0.0014444590001403412,2.0,1.0,1.0,95.0,33.0
replica_room2_multi_hop_001,replica_room2,Replica,multi_hop,graph,canonical,True,True,True,1.0,True,True,26,,0.0005516249998436251,2.0,1.0,1.0,97.0,38.0
replica_room2_functional_001,replica_room2,Replica,functional,graph,canonical,True,True,True,1.0,True,True,11,,0.0005655840000144963,2.0,1.0,8.0,764.0,199.0
replica_room2_negative_001,replica_room2,Replica,negative,graph,canonical,True,False,False,,False,,,invalid/unavailable prediction; missing GT,0.0004732079996756511,0.0,1.0,1.0,95.0,29.0
replica_office0_simple_001,replica_office0,Replica,simple_object,graph,canonical,True,True,True,1.0,True,True,16,,0.0005221669998718426,2.0,1.0,1.0,95.0,27.0
replica_office0_simple_002,replica_office0,Replica,simple_object,graph,canonical,True,True,True,1.0,True,True,5,,0.0005872500000805303,2.0,1.0,1.0,93.0,26.0
