query_id,scene_id,source,query_type,search_variant,input_shape,schema_valid,prediction_available,bbox_eligible,bbox_iou_3d,recall_at_1_eligible,recall_at_1,predicted_object_id,failures,runtime_seconds,checked_nodes,checked_views,checked_objects,context_chars,estimated_tokens
replica_room0_simple_001,replica_room0,Replica,simple_object,graph_fallback,canonical,True,True,True,1.0,True,True,2,,0.000822874999812484,2.0,1.0,1.0,97.0,28.0
replica_room0_simple_002,replica_room0,Replica,simple_object,graph_fallback,canonical,True,True,True,1.0,True,True,36,,0.0006916249999449064,2.0,1.0,1.0,95.0,27.0
replica_room0_attribute_001,replica_room0,Replica,attribute,graph_fallback,canonical,True,True,True,1.0,True,True,45,,0.002276082999742357,2.0,1.0,92.0,8923.0,2240.0
replica_room0_relational_001,replica_room0,Replica,relational,graph_fallback,canonical,True,True,True,1.0,True,True,60,,0.0021618750001834997,2.0,1.0,1.0,94.0,32.0
replica_room0_multi_hop_001,replica_room0,Replica,multi_hop,graph_fallback,canonical,True,True,True,1.0,True,True,63,,0.001660625000113214,2.0,1.0,92.0,8923.0,2244.0
replica_room0_functional_001,replica_room0,Replica,functional,graph_fallback,canonical,True,True,True,1.0,True,True,73,,0.0016345409999303229,2.0,1.0,92.0,8923.0,2239.0
replica_room0_negative_001,replica_room0,Replica,negative,graph_fallback,canonical,True,False,False,,False,,,invalid/unavailable prediction; missing GT,0.0016703330002201255,0.0,1.0,92.0,8923.0,2236.0
replica_room1_simple_001,replica_room1,Replica,simple_object,graph_fallback,canonical,True,True,True,1.0,True,True,36,,0.00042566600041027414,2.0,1.0,1.0,98.0,28.0
replica_room1_simple_002,replica_room1,Replica,simple_object,graph_fallback,canonical,True,True,True,1.0,True,True,6,,0.0004495420002967876,2.0,1.0,1.0,94.0,27.0
replica_room1_attribute_001,replica_room1,Replica,attribute,graph_fallback,canonical,True,True,True,1.0,True,True,51,,0.001232540999808407,2.0,1.0,54.0,5222.0,1315.0
replica_room1_relational_001,replica_room1,Replica,relational,graph_fallback,canonical,True,True,True,1.0,True,True,20,,0.0012552920002235624,2.0,1.0,1.0,94.0,32.0
replica_room1_multi_hop_001,replica_room1,Replica,multi_hop,graph_fallback,canonical,True,True,True,1.0,True,True,32,,0.0010307500001545122,2.0,1.0,54.0,5222.0,1318.0
replica_room1_functional_001,replica_room1,Replica,functional,graph_fallback,canonical,True,True,True,1.0,True,True,32,,0.0010574160000942356,2.0,1.0,54.0,5222.0,1313.0
replica_room1_negative_001,replica_room1,Replica,negative,graph_fallback,canonical,True,False,False,,False,,,invalid/unavailable prediction; missing GT,0.000945333000345272,0.0,1.0,54.0,5222.0,1311.0
replica_room2_simple_001,replica_room2,Replica,simple_object,graph_fallback,canonical,True,True,True,1.0,True,True,54,,0.0004838749996451952,2.0,1.0,1.0,95.0,27.0
replica_room2_simple_002,replica_room2,Replica,simple_object,graph_fallback,canonical,True,True,True,1.0,True,True,14,,0.000506750000113243,2.0,1.0,5.0,475.0,122.0
replica_room2_attribute_001,replica_room2,Replica,attribute,graph_fallback,canonical,True,True,True,1.0,True,True,1,,0.0014254580000852002,2.0,1.0,61.0,5887.0,1481.0
replica_room2_relational_001,replica_room2,Replica,relational,graph_fallback,canonical,True,True,True,1.0,True,True,5,,0.0014402920000975428,2.0,1.0,1.0,95.0,33.0
replica_room2_multi_hop_001,replica_room2,Replica,multi_hop,graph_fallback,canonical,True,True,True,1.0,True,True,26,,0.001281207999909384,2.0,1.0,61.0,5887.0,1485.0
replica_room2_functional_001,replica_room2,Replica,functional,graph_fallback,canonical,True,True,True,1.0,True,True,11,,0.0012237500000082946,2.0,1.0,61.0,5887.0,1480.0
replica_room2_negative_001,replica_room2,Replica,negative,graph_fallback,canonical,True,False,False,,False,,,invalid/unavailable prediction; missing GT,0.0010160000001633307,0.0,1.0,61.0,5887.0,1477.0
replica_office0_simple_001,replica_office0,Replica,simple_object,graph_fallback,canonical,True,True,True,1.0,True,True,16,,0.0005241250000835862,2.0,1.0,1.0,95.0,27.0
replica_office0_simple_002,replica_office0,Replica,simple_object,graph_fallback,canonical,True,True,True,1.0,True,True,5,,0.0004978340002708137,2.0,1.0,1.0,93.0,26.0
replica_office0_attribute_001,replica_office0,Replica,attribute,graph_fallback,canonical,True,True,True,1.0,True,True,12,,0.001652250000006461,2.0,1.0,64.0,6326.0,1591.0
replica_office0_relational_001,replica_office0,Replica,relational,graph_fallback,canonical,True,True,True,1.0,True,True,66,,0.0016824999997879786,2.0,1.0,1.0,100.0,35.0
replica_office0_multi_hop_001,replica_office0,Replica,multi_hop,graph_fallback,canonical,True,True,True,1.0,True,True,64,,0.001239416999851528,2.0,1.0,64.0,6326.0,1595.0
replica_office0_functional_001,replica_office0,Replica,functional,graph_fallback,canonical,True,True,True,1.0,True,True,4,,0.0012276659999770345,2.0,1.0,64.0,6326.0,1590.0
replica_office0_negative_001,replica_office0,Replica,negative,graph_fallback,canonical,True,False,False,,False,,,invalid/unavailable prediction; missing GT,0.0010531249999985448,0.0,1.0,64.0,6326.0,1587.0
replica_office1_simple_001,replica_office1,Replica,simple_object,graph_fallback,canonical,True,True,True,1.0,True,True,34,,0.00038329100016198936,2.0,1.0,1.0,95.0,27.0
replica_office1_simple_002,replica_office1,Replica,simple_object,graph_fallback,canonical,True,True,True,1.0,True,True,42,,0.00040245899981528055,2.0,1.0,3.0,294.0,77.0
replica_office1_attribute_001,replica_office1,Replica,attribute,graph_fallback,canonical,True,True,True,1.0,True,True,18,,0.0013030000000071595,2.0,1.0,48.0,4685.0,1181.0
replica_office1_relational_001,replica_office1,Replica,relational,graph_fallback,canonical,True,True,True,1.0,True,True,5,,0.0021320000000741857,2.0,1.0,3.0,294.0,82.0
replica_office1_multi_hop_001,replica_office1,Replica,multi_hop,graph_fallback,canonical,True,True,True,1.0,True,True,29,,0.0009191250001094886,2.0,1.0,48.0,4685.0,1185.0
replica_office1_functional_001,replica_office1,Replica,functional,graph_fallback,canonical,True,True,True,1.0,True,True,40,,0.0008870410001691198,2.0,1.0,48.0,4685.0,1179.0
replica_office1_negative_001,replica_office1,Replica,negative,graph_fallback,canonical,True,False,False,,False,,,invalid/unavailable prediction; missing GT,0.0008018340004127822,0.0,1.0,48.0,4685.0,1176.0
replica_office2_simple_001,replica_office2,Replica,simple_object,graph_fallback,canonical,True,True,True,1.0,True,True,4,,0.0007558750003227033,2.0,1.0,1.0,94.0,27.0
replica_office2_simple_002,replica_office2,Replica,simple_object,graph_fallback,canonical,True,True,True,1.0,True,True,38,,0.0007168329998421541,2.0,1.0,3.0,288.0,76.0
replica_office2_attribute_001,replica_office2,Replica,attribute,graph_fallback,canonical,True,True,True,1.0,True,True,76,,0.0021656250000887667,2.0,1.0,91.0,9002.0,2260.0
replica_office2_relational_001,replica_office2,Replica,relational,graph_fallback,canonical,True,True,True,1.0,True,True,8,,0.0020420409996404487,2.0,1.0,1.0,99.0,35.0
replica_office2_multi_hop_001,replica_office2,Replica,multi_hop,graph_fallback,canonical,True,True,True,1.0,True,True,28,,0.0018413330003568262,2.0,1.0,91.0,9002.0,2264.0
replica_office2_functional_001,replica_office2,Replica,functional,graph_fallback,canonical,True,True,True,1.0,True,True,32,,0.0017222080000465212,2.0,1.0,91.0,9002.0,2258.0
replica_office2_negative_001,replica_office2,Replica,negative,graph_fallback,canonical,True,False,False,,False,,,invalid/unavailable prediction; missing GT,0.001529624999875523,0.0,1.0,91.0,9002.0,2256.0
replica_office3_simple_001,replica_office3,Replica,simple_object,graph_fallback,canonical,True,True,True,1.0,True,True,56,,0.0008146249997480481,2.0,1.0,1.0,95.0,27.0
replica_office3_simple_002,replica_office3,Replica,simple_object,graph_fallback,canonical,True,True,True,1.0,True,True,15,,0.0008472499998788408,2.0,1.0,4.0,393.0,102.0
replica_office3_attribute_001,replica_office3,Replica,attribute,graph_fallback,canonical,True,True,True,1.0,True,True,92,,0.0023289590003514604,2.0,1.0,100.0,9838.0,2469.0
replica_office3_relational_001,replica_office3,Replica,relational,graph_fallback,canonical,True,True,True,1.0,True,True,26,,0.003183625000019674,2.0,1.0,2.0,194.0,58.0
replica_office3_multi_hop_001,replica_office3,Replica,multi_hop,graph_fallback,canonical,True,True,True,1.0,True,True,101,,0.002076541999940673,2.0,1.0,100.0,9838.0,2472.0
