query_id,scene_id,source,query_type,search_variant,input_shape,schema_valid,prediction_available,bbox_eligible,bbox_iou_3d,recall_at_1_eligible,recall_at_1,predicted_object_id,failures,runtime_seconds,checked_nodes,checked_views,checked_objects,context_chars,estimated_tokens
scannet_0011_00_nr3d_001,scannet_0011_00,Nr3D,relational,ablation_flat_only,canonical,True,True,True,0.0,True,False,17,wrong object,0.0006834580003669544,2.0,4.0,33.0,5653.0,1426.0
scannet_0011_00_nr3d_002,scannet_0011_00,Nr3D,relational,ablation_flat_only,canonical,True,True,True,0.001459,True,False,1,wrong object,0.0006052079997971305,2.0,4.0,33.0,5653.0,1424.0
scannet_0011_00_nr3d_003,scannet_0011_00,Nr3D,simple_object,ablation_flat_only,canonical,True,True,True,1.0,True,True,20,,0.0005859170000803715,2.0,4.0,33.0,5653.0,1421.0
scannet_0011_00_sr3d_plus_001,scannet_0011_00,Sr3D+,relational,ablation_flat_only,canonical,True,True,True,0.0,True,False,1,wrong object,0.0007476669998141006,2.0,4.0,33.0,5653.0,1427.0
scannet_0011_00_sr3d_plus_002,scannet_0011_00,Sr3D+,relational,ablation_flat_only,canonical,True,True,True,0.0,True,False,1,wrong object,0.000716291000117053,2.0,4.0,33.0,5653.0,1428.0
scannet_0011_00_sr3d_plus_003,scannet_0011_00,Sr3D+,relational,ablation_flat_only,canonical,True,True,True,1.0,True,True,1,,0.0007942910001474957,2.0,4.0,33.0,5653.0,1435.0
scannet_0030_00_nr3d_001,scannet_0030_00,Nr3D,relational,ablation_flat_only,canonical,True,True,True,1.0,True,True,17,,0.0016017920002013852,2.0,6.0,90.0,14943.0,3748.0
scannet_0030_00_nr3d_002,scannet_0030_00,Nr3D,relational,ablation_flat_only,canonical,True,True,True,0.0,True,False,17,wrong object,0.0016329580003002775,2.0,6.0,90.0,14943.0,3748.0
scannet_0030_00_nr3d_003,scannet_0030_00,Nr3D,simple_object,ablation_flat_only,canonical,True,True,True,0.0,True,False,26,wrong object,0.0014998330002526927,2.0,6.0,90.0,14943.0,3746.0
scannet_0030_00_sr3d_plus_001,scannet_0030_00,Sr3D+,relational,ablation_flat_only,canonical,True,True,True,0.0,True,False,0,wrong object,0.0015574159997413517,2.0,6.0,90.0,14943.0,3746.0
scannet_0030_00_sr3d_plus_002,scannet_0030_00,Sr3D+,relational,ablation_flat_only,canonical,True,True,True,0.0,True,False,17,wrong object,0.0016130829999383423,2.0,6.0,90.0,14943.0,3748.0
scannet_0030_00_sr3d_plus_003,scannet_0030_00,Sr3D+,relational,ablation_flat_only,canonical,True,False,True,0.0,True,False,,bad bbox; invalid/unavailable prediction,0.0014002500001879525,0.0,6.0,90.0,14943.0,3759.0
