query_id,scene_id,source,query_type,search_variant,input_shape,schema_valid,prediction_available,bbox_eligible,bbox_iou_3d,recall_at_1_eligible,recall_at_1,predicted_object_id,failures,runtime_seconds,checked_nodes,checked_views,checked_objects,context_chars,estimated_tokens
scannet_0011_00_nr3d_001,scannet_0011_00,Nr3D,relational,ablation_no_hierarchy,canonical,True,True,True,0.0,True,False,17,wrong object,0.0006901659999130061,2.0,4.0,33.0,5653.0,1426.0
scannet_0011_00_nr3d_002,scannet_0011_00,Nr3D,relational,ablation_no_hierarchy,canonical,True,True,True,0.001459,True,False,1,wrong object,0.0005947919999016449,2.0,4.0,33.0,5653.0,1424.0
scannet_0011_00_nr3d_003,scannet_0011_00,Nr3D,simple_object,ablation_no_hierarchy,canonical,True,True,True,1.0,True,True,20,,0.0005677090002791374,2.0,4.0,33.0,5653.0,1421.0
scannet_0011_00_sr3d_plus_001,scannet_0011_00,Sr3D+,relational,ablation_no_hierarchy,canonical,True,True,True,0.0,True,False,1,wrong object,0.0006456669998442521,2.0,4.0,33.0,5653.0,1427.0
scannet_0011_00_sr3d_plus_002,scannet_0011_00,Sr3D+,relational,ablation_no_hierarchy,canonical,True,True,True,0.0,True,False,1,wrong object,0.000675125000270782,2.0,4.0,33.0,5653.0,1428.0
scannet_0011_00_sr3d_plus_003,scannet_0011_00,Sr3D+,relational,ablation_no_hierarchy,canonical,True,True,True,1.0,True,True,1,,0.0009030830001393042,2.0,4.0,33.0,5653.0,1435.0
scannet_0030_00_nr3d_001,scannet_0030_00,Nr3D,relational,ablation_no_hierarchy,canonical,True,True,True,1.0,True,True,17,,0.001600292000148329,2.0,6.0,90.0,14943.0,3748.0
scannet_0030_00_nr3d_002,scannet_0030_00,Nr3D,relational,ablation_no_hierarchy,canonical,True,True,True,0.0,True,False,17,wrong object,0.00156299999980547,2.0,6.0,90.0,14943.0,3748.0
scannet_0030_00_nr3d_003,scannet_0030_00,Nr3D,simple_object,ablation_no_hierarchy,canonical,True,True,True,0.0,True,False,26,wrong object,0.0015332920002038009,2.0,6.0,90.0,14943.0,3746.0
scannet_0030_00_sr3d_plus_001,scannet_0030_00,Sr3D+,relational,ablation_no_hierarchy,canonical,True,True,True,0.0,True,False,0,wrong object,0.001623791999918467,2.0,6.0,90.0,14943.0,3746.0
scannet_0030_00_sr3d_plus_002,scannet_0030_00,Sr3D+,relational,ablation_no_hierarchy,canonical,True,True,True,0.0,True,False,17,wrong object,0.0015988340001058532,2.0,6.0,90.0,14943.0,3748.0
scannet_0030_00_sr3d_plus_003,scannet_0030_00,Sr3D+,relational,ablation_no_hierarchy,canonical,True,True,True,0.0,True,False,11,wrong object,0.008893457999874954,2.0,6.0,90.0,14943.0,3759.0
scannet_0046_00_nr3d_001,scannet_0046_00,Nr3D,relational,ablation_no_hierarchy,canonical,True,True,True,0.0,True,False,18,wrong object; wrong relation,0.005588250000073458,2.0,4.0,57.0,10008.0,2523.0
scannet_0046_00_nr3d_002,scannet_0046_00,Nr3D,relational,ablation_no_hierarchy,canonical,True,True,True,0.0,True,False,21,wrong object,0.001141417000326328,2.0,4.0,57.0,10008.0,2517.0
scannet_0046_00_nr3d_003,scannet_0046_00,Nr3D,simple_object,ablation_no_hierarchy,canonical,True,True,True,0.0,True,False,21,wrong object,0.0010311669998372963,2.0,4.0,57.0,10008.0,2511.0
scannet_0046_00_sr3d_plus_001,scannet_0046_00,Sr3D+,relational,ablation_no_hierarchy,canonical,True,True,True,1.0,True,True,18,,0.0010267920001751918,2.0,4.0,57.0,10008.0,2513.0
