query_id,scene_id,source,query_type,search_variant,input_shape,schema_valid,prediction_available,bbox_eligible,bbox_iou_3d,recall_at_1_eligible,recall_at_1,predicted_object_id,failures,runtime_seconds,checked_nodes,checked_views,checked_objects,context_chars,estimated_tokens
scannet_0011_00_nr3d_001,scannet_0011_00,Nr3D,relational,ablation_no_relation,canonical,True,True,True,0.0,True,False,17,wrong object,0.0008560410001337004,2.0,4.0,33.0,5653.0,1426.0
scannet_0011_00_nr3d_002,scannet_0011_00,Nr3D,relational,ablation_no_relation,canonical,True,True,True,0.001459,True,False,1,wrong object,0.0007684169995627599,2.0,4.0,33.0,5653.0,1424.0
scannet_0011_00_nr3d_003,scannet_0011_00,Nr3D,simple_object,ablation_no_relation,canonical,True,True,True,1.0,True,True,20,,0.0007546659999206895,2.0,4.0,33.0,5653.0,1421.0
scannet_0011_00_sr3d_plus_001,scannet_0011_00,Sr3D+,relational,ablation_no_relation,canonical,True,True,True,0.0,True,False,1,wrong object,0.0008742919999349397,2.0,4.0,33.0,5653.0,1427.0
scannet_0011_00_sr3d_plus_002,scannet_0011_00,Sr3D+,relational,ablation_no_relation,canonical,True,True,True,0.0,True,False,1,wrong object,0.0009261250002055021,2.0,4.0,33.0,5653.0,1428.0
scannet_0011_00_sr3d_plus_003,scannet_0011_00,Sr3D+,relational,ablation_no_relation,canonical,True,True,True,1.0,True,True,1,,0.0009695829999145644,2.0,4.0,33.0,5653.0,1435.0
scannet_0030_00_nr3d_001,scannet_0030_00,Nr3D,relational,ablation_no_relation,canonical,True,True,True,1.0,True,True,17,,0.0020690840001407196,2.0,6.0,90.0,14943.0,3748.0
scannet_0030_00_nr3d_002,scannet_0030_00,Nr3D,relational,ablation_no_relation,canonical,True,True,True,0.0,True,False,17,wrong object,0.0022637920001216116,2.0,6.0,90.0,14943.0,3748.0
scannet_0030_00_nr3d_003,scannet_0030_00,Nr3D,simple_object,ablation_no_relation,canonical,True,True,True,0.0,True,False,26,wrong object,0.0019317500000397558,2.0,6.0,90.0,14943.0,3746.0
scannet_0030_00_sr3d_plus_001,scannet_0030_00,Sr3D+,relational,ablation_no_relation,canonical,True,True,True,0.0,True,False,0,wrong object,0.002113834000283532,2.0,6.0,90.0,14943.0,3746.0
