query_id,scene_id,source,query_type,search_variant,input_shape,schema_valid,prediction_available,bbox_eligible,bbox_iou_3d,recall_at_1_eligible,recall_at_1,predicted_object_id,failures,runtime_seconds,checked_nodes,checked_views,checked_objects,context_chars,estimated_tokens
scannet_0011_00_nr3d_001,scannet_0011_00,Nr3D,relational,flat_lexical,canonical,True,True,True,0.0,True,False,17,wrong object,0.0006447499999922002,2.0,4.0,33.0,5653.0,1426.0
scannet_0011_00_nr3d_002,scannet_0011_00,Nr3D,relational,flat_lexical,canonical,True,True,True,0.001459,True,False,1,wrong object,0.0005873330001122667,2.0,4.0,33.0,5653.0,1424.0
scannet_0011_00_nr3d_003,scannet_0011_00,Nr3D,simple_object,flat_lexical,canonical,True,True,True,1.0,True,True,20,,0.0005474589997902513,2.0,4.0,33.0,5653.0,1421.0
scannet_0011_00_sr3d_plus_001,scannet_0011_00,Sr3D+,relational,flat_lexical,canonical,True,True,True,0.0,True,False,1,wrong object,0.0006362080002872972,2.0,4.0,33.0,5653.0,1427.0
scannet_0011_00_sr3d_plus_002,scannet_0011_00,Sr3D+,relational,flat_lexical,canonical,True,True,True,0.0,True,False,1,wrong object,0.0006516250000458967,2.0,4.0,33.0,5653.0,1428.0
scannet_0011_00_sr3d_plus_003,scannet_0011_00,Sr3D+,relational,flat_lexical,canonical,True,True,True,1.0,True,True,1,,0.000783916000273166,2.0,4.0,33.0,5653.0,1435.0
scannet_0030_00_nr3d_001,scannet_0030_00,Nr3D,relational,flat_lexical,canonical,True,True,True,1.0,True,True,17,,0.0015301250000447908,2.0,6.0,90.0,14943.0,3748.0
scannet_0030_00_nr3d_002,scannet_0030_00,Nr3D,relational,flat_lexical,canonical,True,True,True,0.0,True,False,17,wrong object,0.001490125000145781,2.0,6.0,90.0,14943.0,3748.0
scannet_0030_00_nr3d_003,scannet_0030_00,Nr3D,simple_object,flat_lexical,canonical,True,True,True,0.0,True,False,26,wrong object,0.0014680419999422156,2.0,6.0,90.0,14943.0,3746.0
scannet_0030_00_sr3d_plus_001,scannet_0030_00,Sr3D+,relational,flat_lexical,canonical,True,True,True,0.0,True,False,0,wrong object,0.0016180419997908757,2.0,6.0,90.0,14943.0,3746.0
scannet_0030_00_sr3d_plus_002,scannet_0030_00,Sr3D+,relational,flat_lexical,canonical,True,True,True,0.0,True,False,17,wrong object,0.0016407920002166065,2.0,6.0,90.0,14943.0,3748.0
scannet_0030_00_sr3d_plus_003,scannet_0030_00,Sr3D+,relational,flat_lexical,canonical,True,True,True,0.0,True,False,11,wrong object,0.008916457999930572,2.0,6.0,90.0,14943.0,3759.0
scannet_0046_00_nr3d_001,scannet_0046_00,Nr3D,relational,flat_lexical,canonical,True,True,True,0.0,True,False,18,wrong object; wrong relation,0.005584832999829814,2.0,4.0,57.0,10008.0,2523.0
scannet_0046_00_nr3d_002,scannet_0046_00,Nr3D,relational,flat_lexical,canonical,True,True,True,0.0,True,False,21,wrong object,0.0011019170001418388,2.0,4.0,57.0,10008.0,2517.0
scannet_0046_00_nr3d_003,scannet_0046_00,Nr3D,simple_object,flat_lexical,canonical,True,True,True,0.0,True,False,21,wrong object,0.0009860000000116997,2.0,4.0,57.0,10008.0,2511.0
scannet_0046_00_sr3d_plus_001,scannet_0046_00,Sr3D+,relational,flat_lexical,canonical,True,True,True,1.0,True,True,18,,0.0009716250001474691,2.0,4.0,57.0,10008.0,2513.0
scannet_0046_00_sr3d_plus_002,scannet_0046_00,Sr3D+,relational,flat_lexical,canonical,True,True,True,0.0,True,False,0,wrong object,0.0010350000002290471,2.0,4.0,57.0,10008.0,2513.0
scannet_0046_00_sr3d_plus_003,scannet_0046_00,Sr3D+,relational,flat_lexical,canonical,True,True,True,0.0,True,False,33,wrong object,0.0011625839997577714,2.0,4.0,57.0,10008.0,2520.0
scannet_0086_00_nr3d_001,scannet_0086_00,Nr3D,relational,flat_lexical,canonical,True,True,True,0.0,True,False,14,wrong object,0.004464166999696317,2.0,3.0,30.0,5503.0,1397.0
scannet_0086_00_nr3d_002,scannet_0086_00,Nr3D,relational,flat_lexical,canonical,True,True,True,1.0,True,True,17,,0.0006807499999013089,2.0,3.0,30.0,5503.0,1394.0
scannet_0086_00_nr3d_003,scannet_0086_00,Nr3D,attribute,flat_lexical,canonical,True,True,True,0.020786,True,False,1,wrong object,0.000529542000094807,2.0,3.0,30.0,5503.0,1382.0
scannet_0086_00_sr3d_plus_001,scannet_0086_00,Sr3D+,relational,flat_lexical,canonical,True,True,True,1.0,True,True,1,,0.0006105419997766148,2.0,3.0,30.0,5503.0,1388.0
scannet_0086_00_sr3d_plus_002,scannet_0086_00,Sr3D+,relational,flat_lexical,canonical,True,True,True,0.0,True,False,0,wrong object,0.0006943329999558046,2.0,3.0,30.0,5503.0,1388.0
scannet_0086_00_sr3d_plus_003,scannet_0086_00,Sr3D+,relational,flat_lexical,canonical,True,True,True,1.0,True,True,4,,0.004304374999719585,2.0,3.0,30.0,5503.0,1390.0
